,id,screen_name,followers_count,friends_count,favourites_count
136,1173589218091831304,k_holubowicz,2,119,1
137,914859576,PBakalarski,390,359,3553
138,1572941023,niewygodneinfo,9365,409,39
139,1037625006770085889,tvn24CnB,8061,24,26
140,1460006244383666178,datovardosanid3,0,37,4
141,1084696694267281411,Viktor59610742,13,481,140
142,1296131204,RafalMundry,8680,212,11746
143,974354835708538880,JacekWronaCBS,29345,6858,58632
144,1122831152857911296,AFPsprawdzam,1370,47,43
145,51023770,BBCArchive,255331,7180,3025
146,25067168,euronews,480929,1110,2996
147,2180877523,wojda_michal,500,2927,125
148,818962349109428224,MaurycyRothbard,35,1112,2414
149,1393993387733360640,Mati__Rx,235,843,7516
150,943478888679780354,MJimramovsky,87,253,1815
151,3446642481,PatrycjaPendra,1926,619,8984
152,1460644266879950857,Ania515766,0,37,2
153,790989365648457732,MowimWiechem,152,221,3
154,1187694297191198721,KatarzynaWasia5,5,169,6
155,1800703562,MapPornImages,18,0,0
156,138048156,mblaszczak,138524,2988,1628
157,169416282,UNArmenia,53323,1914,970
158,146733746,v_hunanyan,6774,6564,1970
159,960494472600670214,ICGPress,252,127,12
160,1009546724,AnonOpsSE,129475,170,1947
161,3602890095,PrzemysZurawski,2802,485,26795
162,2955708029,Michal_Lubina,5005,918,2866
163,431853661,S_Matuszak,507,330,334
164,743909774752907264,SykulskiLeszek,11577,2870,6737
165,1442753779057709057,Jazow3,16,406,4525
166,1460635059199881220,Tamagot50664491,0,11,0
167,409933137,wojtek1425,3234,277,116891
168,372261212,TajudenSoroush,36458,517,3241
169,884295774082879488,ALodzinski,133,273,14359
170,1647168727,sbalcerac,11163,43,47250
171,1460678618099691525,Klara77738314,0,19,0
172,807163120041000960,baadluuck13,15,186,1399
173,1430922773812101124,dominikprzybylo,5,66,401
174,1122231810577063937,DefenseSafety,503,4212,1454
175,1441460812573331459,Puzio_P,79,528,146
176,2579268332,Vibovitsch,266,706,19715
177,31385474,mgostkiewicz,1604,2748,25689
178,1356754493413740547,Chrzescijanin__,632,4925,169
179,1528501964,BiznesAlert,13110,260,3770
180,1348017272217079810,DariaOst16,13,346,1316
181,1065861559,Formuszewicz,589,529,1242
182,3889514427,KotulaKat,8724,1488,14196
183,833342510407811073,TomashBel,8,922,81
184,837644945808850944,SylwiaGAbram,14265,329,1928
185,315977058,Maciej_Swirski,14815,2059,920
186,2209410012,MichalFuja,3953,642,1322
187,4275446535,MasarikMartin,108,393,1176
188,1460682734666489856,Ke23XCV,0,48,1
189,1007521595986935808,MivaPolska,688,1161,653
190,4810583955,AnneMPellegrino,2168,1281,13393
191,1195319327999709186,aleksandraketal,190,505,3231
192,1708266822,MTerlikowski,2093,1149,5729
193,2380566958,pudlashuk,1465,2224,63445
194,789230572589682689,psietkiewicz,42,946,5631
195,1403774805602672641,Kamolo14,0,64,2
196,2635304210,aganiock,1022,1444,92838
197,1460670554881544194,matteushaq92,0,37,2
198,1088408821456912384,PawelPaszak,1934,1179,11831
199,909768130972520448,StanisPiech,342,852,45944
200,322044736,FISskijumping,32045,84,336
201,2798754771,LukaszBok,148816,381,2415
202,3557657727,mszelag94,10,255,429
203,1460639260399308800,Dariusz08131666,0,6,0
204,83236466,beatabiel,13377,991,18557
205,67011389,DDTVN,36022,60,1137
206,1447336044442050560,Ashley03851880,27,6072,0
207,365647906,KSzczerski,49568,327,46
208,145634974,balazsrichard,1191,1229,16674
209,1956427818,MazurKrzysztof,4228,728,2861
210,884034140,fab_hinz,13473,1888,7638
211,125614796,maciejknapik,29672,831,1784
212,1305812869964009478,dawidcecuda,80,582,295
213,256487295,kowalskaac,3062,567,231
214,432408764,TraczMichal,19122,1546,5177
215,16847779,Exen,32214,2263,37945
216,3395785978,mateusz_chatys,495,980,3769
217,18949452,FT,4768797,778,37
218,986684547084554240,ACIranSource,5593,232,278
219,1333411831730343937,IZGospodarki,356,681,489
220,948122789038428160,mich_kozlowski,3178,297,67156
221,899639618789941248,jojispills,221,98,4437
222,4041968170,InaKoniec,935,1807,64260
223,824700712017920000,Antimediapl,40,465,2683
224,1429061123878359045,TomaszaKolanko1,2,66,1
225,2293604438,blognrollpl5,920,875,79744
226,1134801169669341184,KucDiaboliczny,66,709,20107
227,1048640205543100419,CStrony,1030,732,73
228,432603746,ArkadiuszLegiec,1735,722,5018
229,63029891,niebezpiecznik,76075,3,1590
230,484721319,mszpala,1174,2396,3067
231,1198969213316141063,AleksanderOlech,576,217,3322
232,269770723,ru_rbc,401697,3,39
233,758054692106665984,maksinski,1,15,7
234,3956160315,WinkDorota,334,638,37737
235,1469368092,zelazna_logika,38313,221,16096
236,82974204,polonia1911,5727,91,242
237,1460667466615508996,czarnowicka,0,98,0
238,4577246775,MJX00,108,3081,1056
239,1282121312,waitbutwhy,393654,675,1736
240,723806105751719936,WiktorSwietlik,14952,1093,13582
241,590044851,wjakobik,12793,1612,33544
242,485828885,makowski_m,42745,1493,50023
243,4833204616,prismUA,1164,509,320
244,1055882191,BM_Wisniewski,2103,982,4583
245,827817306386550784,PawelZdun,3661,623,64994
246,1288193481987555330,dziuchas,12,183,7203
247,864554093825675265,PolskieSluzby,11420,11687,30785
248,1460661335440728068,MagdalenaBartn7,0,48,0
249,39568364,tvnwarszawa,311536,20,10
250,1359374784644206592,BKrzykalska,364,4165,2940
251,1352431434078838787,Pedro70961006,131,200,15214
252,783675538200297472,b_goralczyk,7305,204,4774
253,1282971113144950785,_nkrz,10,1073,6216
254,1245974786829926401,Mirosaw45349258,1,50,98
255,2868725723,michbank,137,1675,32832
256,3921184577,AndrzejTokio,965,4326,5237
257,1036623396086407170,meme_ec,31942,206,3089
258,1317449306803261441,Kacper_aka,6,229,2468
259,709842285064802308,DT_Jankowski,338,1059,7132
260,241839214,JHaszczynski,10598,753,18532
261,419570607,makrzyz,1091,687,5937
262,1124646406701105152,grzesiowski_p,32502,339,241
263,1878432018,Adam_Doliwa,44,135,2001
264,896878499885182976,bartek_kramek,2684,2753,7878
265,1460585156897558530,kejttt92,0,24,0
266,1460650576467869696,MArszynska,0,38,0
267,879998176240992256,rick_baran,1464,151,4029
268,1228412940899975168,Kaukaz_Observer,818,762,2341
269,1139834822011084801,IMGWmeteo,23614,554,2566
270,2243760302,tugumisirizebar,316,4176,256
271,1116617966060064769,pesabydgoszcz,1023,199,619
272,783987896319614976,Capt_Navy,22991,169,24708
273,1418240108189343751,Basiam_20,15,154,230
274,1460680601380532224,Mika63247651,1,44,0
275,87679246,forsalpl,21707,642,87
276,1460634275326443531,rafalpierog1980,0,69,0
277,2354880002,PiotrSemka,70729,1168,3613
278,1459449935116570637,Wojciec03538763,1,9,0
279,825007268,PStrzalkowski,2829,4411,36338
280,919423230,starostinPL,18,385,1444
281,1459186870739472392,BarbaraPelc5,0,20,1
282,106738320,criticalthreats,20015,602,302
283,589820632,YaElusive,1682,3392,63163
284,837343332,M_Kaczmarski,1710,936,731
285,2787160109,k_jablonowski,497,761,5628
286,1124623258857480192,pukszto,665,2282,2909
287,1006779199,kennaninstitute,9451,1053,3768
288,1126177040317734912,RodmWarszawa,230,134,146
289,1145089310733033472,KubaBielamowicz,105,843,1566
290,2981197695,PiotrSzyman,595,781,1976
291,462195894,MiKolodziejski,1723,448,4108
292,1353653154,Herr_Apfelbaum,540,1605,16496
293,1100824461308235776,Krzyszt91891688,4,155,439
294,378578570,MarekPt,78,1033,25172
295,74769064,tweetsintheME,25331,2456,35183
296,1460662521690570760,PiotrDb44947991,0,29,0
297,1390225185610080258,abramfilip,12,514,2999
298,827564765287444480,ZoroTango,262,894,27546
299,1415139002949246976,KamCetnarowicz,58,220,4530
300,2624269105,Kruszynski_,127,308,2637
301,537138963,PLinRussia,3873,638,4384
302,1109347722170126336,FilipBukowski3,101,1470,43007
303,1269245943364431876,Luiza11713286,0,3,3
